1,KENNEDY ADMINISTRATION PRESSURE ON NGO DINH DIEM TO STOPSUPPRESSING THE BUDDHISTS .
2,EFFORTS OF AMBASSADOR HENRY CABOT LODGE TO GET VIET NAM'SPRESIDENT DIEM TO CHANGE HIS POLICIES OF POLITICAL REPRESSION .
3,NUMBER OF TROOPS THE UNITED STATES HAS STATIONED IN SOUTHVIET NAM AS COMPARED WITH THE NUMBER OF TROOPS IT HAS STATIONEDIN WEST GERMANY .
4,U.S . POLICY TOWARD THE NEW REGIME IN SOUTH VIET NAM WHICH OVERTHREWPRESIDENT DIEM .
5,PERSONS INVOLVED IN THE VIET NAM COUP .
6,CEREMONIAL SUICIDES COMMITTED BY SOME BUDDHIST MONKS IN SOUTH VIET NAMAND WHAT THEY ARE SEEKING TO GAIN BY SUCH ACTS .
7,REJECTION BY PRINCE NORODOM SIHANOUK, AN ASIAN NEUTRALIST LEADER,OF ALL FURTHER U.S . AID TO HIS NATION .
8,U.N . TEAM SURVEY OF PUBLIC OPINION IN NORTH BORNEO AND SARAWAK ONTHE QUESTION OF JOINING THE FEDERATION OF MALAYSIA .
9,OPPOSITION OF INDONESIA TO THE NEWLY-CREATED MALAYSIA .
10,GROWING CONTROVERSY IN SOUTHEAST ASIA OVER THE PROPOSEDCREATION OF A FEDERATION OF MALAYSIA .
11,ARRANGEMENTS FOR INDONESIA TO TAKE OVER THE ADMINISTRATIONOF WEST IRIAN, WHICH HAS BEEN UNDER UNITED NATIONS ADMINISTRATION .
12,CONTROVERSY BETWEEN INDONESIA AND MALAYA ON THE PROPOSEDFEDERATION OF MALAYSIA, WHICH WOULD UNITE FIVE TERRITORIES .
13,PRECARIOUS TRUCE IN LAOS WHICH WAS BROUGHT UP BY BRITAINBEFORE THE 14 NATIONS THAT AGREED ON THE TRUCE IN GENEVA LASTYEAR .
14,MAPHILINDO, A WORD FORMED FROM PARTS OF THE NAMES OF THREECOUNTRIES, WHICH IS BEING USED IN DISCUSSIONS OF INTERNATIONALRELATIONS IN THE FAR EAST .
15,ELECTION OF PARK CHUNG HEE AS PRESIDENT OF SOUTH KOREA .
16,EFFORTS OF THE THREE-NATION INTERNATIONAL CONTROL COMMISSIONFOR INDO-CHINA TO TRY TO STOP THE FIGHTING THAT HAS FLAREDIN LAOS .
17,WITHDRAWAL BY THE SULTANATE OF BRUNEI FROM THE PROPOSEDFEDERATION OF MALAYSIA .
18,RUSSIA'S REFUSAL TO CONTRIBUTE FUNDS FOR THE SUPPORT OF UNITED NATIONSPEACEKEEPING FORCES .
19,AGREEMENT BY THE UNITED ARAB REPUBLIC AND SAUDI ARABIA TOWITHDRAW THEIR FORCES FROM YEMEN, WHICH INVOLVES OBSERVERSFROM THE UNITED NATIONS EXPEDITIONARY FORCE BEING SENT TO YEMEN .
20,THE UNITED STATES HAS WARNED IT WOULD LIMIT ITS UNITED NATIONSPAYMENTS TO THE LEVEL OF ITS REGULAR ASSESSMENT IF NATIONS NOW INARREARS FAIL TO PAY UP . WHAT ISSUES ARE INVOLVED IN THESENATIONS' BEING IN ARREARS .
21,SECURITY COUNCIL CONSIDERATION OF THE COMPLAINTS BY 32 AFRICANNATIONS AGAINST SOUTH AFRICA AND PORTUGAL .
22,ALTERNATIVES WHICH HAVE BEEN OFFERED IF U.N . FORCES AREWITHDRAWN FROM THE CONGO .
23,WHAT COUNTRIES HAVE NEWLY JOINED THE UNITED NATIONS .
24,UNITED NATIONS EFFORTS TO GET PORTUGAL TO FREE ITS AFRICAN COLONIES .
25,U.N . CONSIDERATION OF THE CONFLICT BETWEEN ISRAEL AND ITSARAB NEIGHBORS .
26,EFFECT IN THE U.N . OF A MAJORITY COMPRISED OF UNDERDEVELOPEDNATIONS .
27,BRITISH PROPOSAL FOR NEW HIGH LEVEL NEGOTIATIONS WITHRUSSIA OR A FOUR-POWER SUMMIT MEETING .
28,STRENGTHS IN POPULAR VOTES OF THE VARIOUS POLITICAL PARTIES IN THERECENT ITALIAN ELECTIONS .
29,TALKS BETWEEN SECRETARY OF STATE RUSK AND PRESIDENT TITO OFYUGOSLAVIA CONCERNING MOST-FAVORED-NATION TREATMENT FOR YUGOSLAVEXPORTS TO THE UNITED STATES .
